Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,166.5,-71,45,top
C2,0.1uF,C_0402_1005Metric,162,-83.5,-45,top
C3,0.1uF,C_0402_1005Metric,160,-71.5,90,top
C4,1uF,C_0402_1005Metric,166,-73,45,top
C5,0.1uF,C_0402_1005Metric,166.5,-74,45,top
C6,0.1uF,C_0402_1005Metric,154.5,-78,135,top
C7,0.1uF,C_0402_1005Metric,161,-71.5,90,top
C8,0.1uF,C_0402_1005Metric,161.5,-84.5,-45,top
C9,1nF,C_0402_1005Metric,155.5,-60.5,-90,top
C10,0.1uF,C_0402_1005Metric,156.5,-73,135,top
C11,0.1uF,C_0402_1005Metric,165,-72.5,45,top
C12,0.1uF,C_0402_1005Metric,166.5,-79,0,top
C13,10uF,C_0603_1608Metric,158.5,-62,180,top
C14,10uF,C_0603_1608Metric,156,-58,-90,top
C15,33pF,C_0402_1005Metric,162,-86.5,90,top
C16,33pF,C_0402_1005Metric,156,-87,-90,top
C17,0.1uF,C_0402_1005Metric,163,-63.5,90,top
D1,LED,LED_0805_2012Metric,164,-89.5,90,top
D2,LED,LED_0805_2012Metric,166.5,-61.5,90,top
D3,FMBR120VLSFT1G,SOD-123FL_L2.8-W1.8-LS3.8-RD,157,-55.5,180,top
D4,FMBR120VLSFT1G,SOD-123FL_L2.8-W1.8-LS3.8-RD,167,-52.5,90,top
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,160.65,-49.25,180,top
J2,Conn_01x20,PinHeader_1x20_P2.54mmf_Vertical,151.76,-48.12,0,top
J3,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,169.54,-48.12,0,top
J4,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,158.11,-96.14,90,top
R1,5.1K,R_0402_1005Metric,162.5,-55,0,top
R2,5.1K,R_0402_1005Metric,160,-56,-90,top
R3,27,R_0402_1005Metric,163,-71,180,top
R4,27,R_0402_1005Metric,163,-72,180,top
R5,1K,R_0402_1005Metric,160,-83.51,90,top
R6,1K,R_0402_1005Metric,156.5,-63,-90,top
R7,10K,R_0402_1005Metric,158,-63.5,180,top
R8,1K,R_0402_1005Metric,164,-86.5,90,top
R9,1K,R_0402_1005Metric,164.5,-60.5,90,top
R10,200K,R_0402_1005Metric,154.5,-58,-90,top
R11,100K,R_0402_1005Metric,154.5,-60,-90,top
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,164.5,-57.5,180,top
SW2,SW_Push,SW_Push_SPST_NO_Alps_SKRK,158.9,-91,180,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,160.65,-77.75,0,top
U2,TPSPX3819M5-L-3-3,SOT-23-5_L3.0-W1.6-P0.95-LS2.8-BR,158.5,-59,90,top
U3,W25Q128JVS,SOIC-8_5.3x5.3mm_P1.27mm,159.5,-67,0,top
Y1,12_MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,159,-86.5,180,top
